task,n,biopsy_local_auc,biopsy_direction_agreement,spatial_discriminability_ratio,biopsy_strict_5_0_label_correct_fraction,reference_strict_5_0_same_sign_fraction
IDH,15,0.7777777777777778,0.8666666666666667,0.6481722368053806,0.6666666666666666,0.8489583333333334
Grade,10,0.8571428571428571,0.8,0.6597893652793971,0.7,0.85
