model,task,cohort,metric,n,n_positive,ours,baseline,difference,p_raw,test,delong_variance,p_holm105,p_holm3780,p_holm19_conditional,p_holm684_conditional,significant_raw,significant_holm105,significant_holm3780,significant_holm19_conditional,significant_holm684_conditional
AdaBoost,Grade,Development OOF,accuracy,784,521,0.8392857142857143,0.60076530612244894,0.23852040816326536,5.1589983678726973e-29,exact McNemar,,5.4169482862663321e-27,1.9047021974185998e-25,9.8020968989581251e-28,3.4307339146353436e-26,True,True,True,True,True
AdaBoost,Grade,Development OOF,f1,784,521,0.87272727272727268,0.6601520086862106,0.21257526404106208,2.3418069959515002e-28,exact paired swap,,2.4588973457490752e-26,8.6295587800812786e-25,4.4494332923078502e-27,1.5479344243239417e-25,True,True,True,True,True
AdaBoost,Grade,Development OOF,mcc,784,521,0.66306000754319727,0.20634855235335076,0.45671145518984652,8.924202766871576e-28,exact paired swap,,9.1919288498777228e-26,3.2805369371019915e-24,1.6955985257055994e-26,5.8810496233683687e-25,True,True,True,True,True
AdaBoost,Grade,Development OOF,roc_auc,784,521,0.91483911460119827,0.68312619049356682,0.23171292410763145,7.9148197437534723e-29,paired DeLong,0.00043740567946379662,7.2024859668156595e-27,2.9205684854450312e-25,1.424667553875625e-27,5.2554403098523055e-26,True,True,True,True,True
AdaBoost,IDH,Development OOF,accuracy,1355,281,0.89446494464944648,0.77638376383763841,0.11808118081180807,3.2167498929816645e-21,exact McNemar,,2.2195574261573484e-19,1.1236107376184955e-17,4.5034498501743303e-20,1.9461336852539069e-18,True,True,True,True,True
AdaBoost,IDH,Development OOF,f1,1355,281,0.77265500794912556,0.54572713643178405,0.22692787151734151,3.862780249528481e-22,exact paired swap,,2.9743407921369305e-20,1.3608286573885611e-18,6.1804483992455696e-21,2.3794222337534874e-19,True,True,True,True,True
AdaBoost,IDH,Development OOF,mcc,1355,281,0.71178394409360823,0.41116977804114341,0.30061416605246483,3.8626984314179994e-22,exact paired swap,,3.0129047765060392e-20,1.3608286573885611e-18,6.180317490268799e-21,2.3794222337534874e-19,True,True,True,True,True
AdaBoost,IDH,Development OOF,roc_auc,1355,281,0.94594988634631572,0.80148213682180569,0.14446774952451003,7.3145501118627345e-24,paired DeLong,0.00020854041179444176,7.3145501118627347e-22,2.6178774850356726e-20,1.3166190201352923e-22,4.6447393210328363e-21,True,True,True,True,True
AdaBoost,1p/19q,Development OOF,accuracy,571,90,0.79684763572679507,0.67950963222416816,0.11733800350262691,1.3544054080208364e-07,exact McNemar,,9.6498844693534618e-06,0.00031679542493607361,1.2189648672187526e-06,5.4447097402437619e-05,True,True,True,True,True
AdaBoost,1p/19q,Development OOF,f1,571,90,0.546875,0.37113402061855671,0.17574097938144329,2.9821321923394109e-06,exact paired swap,,0.00021173138565609817,0.0063549237018752846,2.9821321923394109e-05,0.0010497105317034726,True,True,True,True,True
AdaBoost,1p/19q,Development OOF,mcc,571,90,0.46396530023727411,0.22460172071233431,0.23936357952493981,6.0128038242056424e-06,exact paired swap,,0.00044494748299121756,0.012362324662566801,6.614084206626207e-05,0.0020216442808229391,True,True,True,True,True
AdaBoost,1p/19q,Development OOF,roc_auc,571,90,0.85162855162855167,0.71849156849156848,0.13313698313698319,5.9989444534805308e-06,paired DeLong,0.00092495386724225539,0.0004028053641861141,0.012339828740809453,4.1992611174363716e-05,0.0020216442808229391,True,True,True,True,True
