model,task,metric,n,n_positive,ours,baseline,difference,p_raw,test,alternative,delong_variance,test_status,p_holm91,p_holm910,p_holm19_conditional,p_holm190_conditional,significant_raw,significant_holm91,significant_holm910,significant_holm19_conditional,significant_holm190_conditional,numerically_higher
Swin-S,IDH,spatial_discriminability_ratio,15,3,0.64817223680538061,0.00020426957409083466,0.6479679672312898,0.00048828125,exact patient swap of medians,greater,,OK,,,0.0078125,0.08349609375,True,False,False,True,False,True
Swin-S,IDH,biopsy_strict_5_0_label_correct_fraction,15,3,0.66666666666666663,0,0.66666666666666663,0.0009765625,exact McNemar,greater,,OK,,,0.0185546875,0.15625,True,False,False,True,False,True
Swin-S,IDH,reference_strict_5_0_same_sign_fraction,15,3,0.84895833333333337,0.24583333333333332,0.60312500000000002,6.103515625e-05,exact patient swap of means,greater,,OK,,,0.00115966796875,0.0115966796875,True,False,False,True,True,True
AGGN,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.4285714285714286,0.42857142857142849,0.041632258331775203,paired DeLong (small sample),greater,,OK,,,0.45795484164952721,1,True,False,False,False,False,True
AGGN,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.59999999999999998,0.20000000000000007,0.3125,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
AGGN,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.19147469751194746,0.46831466776744968,0.00390625,exact patient swap of medians,greater,,OK,,,0.05859375,0.515625,True,False,False,False,False,True
AGGN,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.40000000000000002,0.29999999999999993,0.1875,exact McNemar,greater,,OK,,,0.5625,1,False,False,False,False,False,True
AGGN,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.23125000000000001,0.61874999999999991,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
CMTLNet,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.57142857142857151,0.28571428571428559,0.14188597859791569,paired DeLong (small sample),greater,,OK,,,0.64112150326591366,1,False,False,False,False,False,True
CMTLNet,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.80000000000000004,0,0.75,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,False
CMTLNet,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.15422156233258927,0.50556780294680781,0.0048828125,exact patient swap of medians,greater,,OK,,,0.05859375,0.5859375,True,False,False,False,False,True
CMTLNet,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.29999999999999999,0.39999999999999997,0.109375,exact McNemar,greater,,OK,,,0.546875,1,False,False,False,False,False,True
CMTLNet,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.2421875,0.60781249999999998,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
DenseNet121 3D,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.76190476190476197,0.095238095238095122,0.33371824585494125,paired DeLong (small sample),greater,,OK,,,0.64112150326591366,1,False,False,False,False,False,True
