model,task,cohort,n,n_negative,n_positive,estimate_type,roc_auc,accuracy,f1,mcc,sensitivity,specificity,balanced_accuracy,brier,log_loss,roc_auc_rank_of20,accuracy_rank_of20,f1_rank_of20,mcc_rank_of20
Hist. gradient boosting,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.74917994917994912,0.63222416812609461,0.36746987951807231,0.22230250922551623,0.67777777777777781,0.62370062370062374,0.65073920073920077,0.13469491426053279,0.53267960828761618,4,19,16,16
Hist. gradient boosting,Grade,UCSF,495,99,396,five_model_probability_ensemble,0.71056524844403635,0.55151515151515151,0.6384364820846905,0.21974835286849032,0.49494949494949497,0.77777777777777779,0.63636363636363635,0.18822327084476528,0.56127261915414828,19,19,19,19
Hist. gradient boosting,IDH,UCSF,495,392,103,five_model_probability_ensemble,0.75369031107588669,0.73333333333333328,0.49618320610687022,0.34015139999689908,0.6310679611650486,0.76020408163265307,0.69563602139885083,0.14227442211054839,0.47556615391129187,15,17,14,14
Hist. gradient boosting,1p/19q,UCSF,404,389,15,five_model_probability_ensemble,0.65861182519280204,0.62376237623762376,0.10588235294117647,0.087360827451363074,0.59999999999999998,0.62467866323907451,0.61233933161953724,0.047517444202330519,0.20247773978256867,19,9,18,19
Hist. gradient boosting,Grade,Xijing,92,19,73,five_model_probability_ensemble,0.67411679884643116,0.59782608695652173,0.69918699186991873,0.17929721698262782,0.58904109589041098,0.63157894736842102,0.61031002162941594,0.17971208204891501,0.55018696660598365,15,16,16,17
Hist. gradient boosting,IDH,Xijing,105,88,17,five_model_probability_ensemble,0.85695187165775399,0.61904761904761907,0.41176470588235292,0.29707735421632592,0.82352941176470584,0.57954545454545459,0.70153743315508021,0.10338196376415144,0.34199109549878465,14,19,19,19
Hist. gradient boosting,1p/19q,Xijing,59,54,5,five_model_probability_ensemble,0.82222222222222219,0.71186440677966101,0.32000000000000001,0.29635327087547814,0.80000000000000004,0.70370370370370372,0.75185185185185188,0.078063279838531396,0.2555004609052377,9,13,8,5
MLP (joint),Grade,Development OOF,784,263,521,pooled_out_of_fold,0.65118994621340942,0.63137755102040816,0.71071071071071068,0.20683752807408015,0.68138195777351251,0.53231939163498099,0.60685067470424681,0.29322303703630154,1.6919906123357822,20,17,16,19
MLP (joint),IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.79228877976367984,0.78007380073800736,0.5329153605015674,0.39655086629775571,0.604982206405694,0.82588454376163878,0.71543337508366633,0.15562336744932773,0.86907495080724395,19,14,19,19
MLP (joint),1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.72430122430122423,0.62697022767075306,0.3861671469740634,0.25593379018139506,0.74444444444444446,0.60498960498960497,0.67471702471702466,0.15790596172173693,1.1486504542348981,9,20,12,11
MLP (joint),Grade,UCSF,495,99,396,five_model_probability_ensemble,0.72337006427915518,0.68484848484848482,0.78028169014084503,0.27055502418939081,0.6994949494949495,0.6262626262626263,0.66287878787878785,0.16778252101540267,0.61139401155292772,17,12,12,15
MLP (joint),IDH,UCSF,495,392,103,five_model_probability_ensemble,0.74148008718050318,0.73535353535353531,0.46090534979423869,0.29690109596973391,0.5436893203883495,0.7857142857142857,0.66470180305131765,0.15669418182475528,0.66677966362281826,19,16,17,17
MLP (joint),1p/19q,UCSF,404,389,15,five_model_probability_ensemble,0.78988860325621257,0.52722772277227725,0.12785388127853881,0.1682496526860604,0.93333333333333335,0.51156812339331614,0.7224507283633248,0.057486487085311191,0.22651795186764462,10,15,10,7
MLP (joint),Grade,Xijing,92,19,73,five_model_probability_ensemble,0.63302090843547232,0.77173913043478259,0.85906040268456374,0.26180256609660785,0.87671232876712324,0.36842105263157893,0.62256669069935111,0.16233889066595913,0.73313652907154536,18,11,10,13
MLP (joint),IDH,Xijing,105,88,17,five_model_probability_ensemble,0.87700534759358284,0.76190476190476186,0.54545454545454541,0.47601508693469313,0.88235294117647056,0.73863636363636365,0.81049465240641716,0.087227464650417946,0.30384934812109027,13,6,7,9
MLP (joint),1p/19q,Xijing,59,54,5,five_model_probability_ensemble,0.82962962962962972,0.47457627118644069,0.24390243902439024,0.24322084326969809,1,0.42592592592592593,0.71296296296296302,0.079421187228205375,0.29053759298199255,6,19,13,9
Random forest,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.71717156973646756,0.61734693877551017,0.66887417218543044,0.25480072477758875,0.58157389635316703,0.68821292775665399,0.63489341205491057,0.19121887755102038,0.5628210813923461,16,19,19,17
Random forest,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.83298541389159497,0.77564575645756462,0.56321839080459768,0.43415115941318949,0.697508896797153,0.7960893854748603,0.74679914113600665,0.12112531365313653,0.38416780003837597,17,16,15,15
Random forest,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.7585239085239085,0.69877408056042034,0.38571428571428573,0.24533751488927685,0.59999999999999998,0.71725571725571724,0.65862785862785866,0.11347145359019266,0.37392630188992648,3,7,13,13
Random forest,Grade,UCSF,495,99,396,five_model_probability_ensemble,0.75968013468013473,0.56767676767676767,0.65483870967741931,0.24149509327065166,0.51262626262626265,0.78787878787878785,0.6502525252525253,0.14869532121212123,0.46853708340743527,16,18,18,18
Random forest,IDH,UCSF,495,392,103,five_model_probability_ensemble,0.73040915395284334,0.76161616161616164,0.43269230769230771,0.28183570946036612,0.43689320388349512,0.84693877551020413,0.6419159896968496,0.14526223838383839,0.45853187011061231,20,12,20,20
Random forest,1p/19q,UCSF,404,389,15,five_model_probability_ensemble,0.67112253641816622,0.82673267326732669,0.14634146341463414,0.12362594189842202,0.40000000000000002,0.84318766066838047,0.62159383033419024,0.048217108910891086,0.20907171100208832,16,4,7,16
Random forest,Grade,Xijing,92,19,73,five_model_probability_ensemble,0.60021629416005773,0.5,0.61016949152542377,0.015764142345717894,0.49315068493150682,0.52631578947368418,0.50973323720259556,0.17271391304347827,0.52672203420400665,20,19,18,20
Random forest,IDH,Xijing,105,88,17,five_model_probability_ensemble,0.82018716577540096,0.7142857142857143,0.4642857142857143,0.35773962226167527,0.76470588235294112,0.70454545454545459,0.73462566844919786,0.10589885714285714,0.36137325300038675,18,12,14,16
Random forest,1p/19q,Xijing,59,54,5,five_model_probability_ensemble,0.82777777777777783,0.79661016949152541,0.33333333333333331,0.27873117693472471,0.59999999999999998,0.81481481481481477,0.70740740740740737,0.067049288135593216,0.25170453052444319,8,4,5,6
