model,task,cohort,n,n_negative,n_positive,estimate_type,roc_auc,accuracy,f1,mcc,sensitivity,specificity,balanced_accuracy,brier,log_loss,roc_auc_rank_of20,accuracy_rank_of20,f1_rank_of20,mcc_rank_of20
GlioMT image-only Transformer,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.83804627249357322,0.60148514851485146,0.13903743315508021,0.17510873381124933,0.8666666666666667,0.59125964010282772,0.72896315338474715,0.05668869084448417,0.23058178324227577,6,10,8,6
MTTU-Net,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.81148243359040273,0.58168316831683164,0.12435233160621761,0.14215862837388579,0.80000000000000004,0.57326478149100257,0.68663239074550131,0.05547619356982237,0.21734407140627363,9,13,12,10
MFEFNet,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.87300771208226224,0.71039603960396036,0.18181818181818182,0.23207322458759211,0.8666666666666667,0.70437017994858608,0.78551842330762645,0.047642485710531014,0.21289648873830111,3,6,3,4
2.5D Hybrid MTL,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.82776349614395883,0.6410891089108911,0.15204678362573099,0.1938129539812061,0.8666666666666667,0.63239074550128538,0.74952870608397604,0.041895564575739661,0.16624787607895683,8,8,6,5
AGGN,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.77343616109682944,0.47524752475247523,0.1092436974789916,0.12426205853600898,0.8666666666666667,0.46015424164524421,0.66341045415595545,0.056382493268348211,0.2365026516079817,12,17,15,14
Swin-S,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.67163667523564696,0.51237623762376239,0.11659192825112108,0.13823151472785095,0.8666666666666667,0.49871465295629819,0.68269065981148247,0.053510990234947216,0.23162511844508929,15,16,13,12
CMTLNet,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.82222222222222219,0.79661016949152541,0.33333333333333331,0.27873117693472471,0.59999999999999998,0.81481481481481477,0.70740740740740737,0.073253880960780504,0.24584896617294014,9,4,5,6
ResNet10 3D,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.81111111111111112,0.76271186440677963,0.36363636363636365,0.34391091476474711,0.80000000000000004,0.7592592592592593,0.77962962962962967,0.077384538999446306,0.263701240555414,11,7,3,3
ResNet18 2.5D,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.71111111111111114,0.69491525423728817,0.25,0.18101942213222266,0.59999999999999998,0.70370370370370372,0.6518518518518519,0.069121512794572945,0.2639759905739788,19,14,11,12
ResNet18 3D,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.74814814814814812,0.64406779661016944,0.16,0.039223227027636809,0.40000000000000002,0.66666666666666663,0.53333333333333333,0.069094341211558524,0.24876940710483389,18,16,20,20
DenseNet121 3D,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.80740740740740746,0.76271186440677963,0.22222222222222221,0.13189957479946796,0.40000000000000002,0.79629629629629628,0.5981481481481481,0.066911096773158707,0.2395582016295561,12,7,14,15
EfficientNet-B0 3D,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.79259259259259263,0.4576271186440678,0.20000000000000001,0.12808796029757144,0.80000000000000004,0.42592592592592593,0.61296296296296293,0.084926271379940591,0.2890908369517034,13,20,18,17
PrognosAIs WHO-2016 MTL,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.89629629629629626,0.81355932203389836,0.35294117647058826,0.29982264260938768,0.59999999999999998,0.83333333333333337,0.71666666666666667,0.054815290874186774,0.18780718807824301,2,3,4,4
GlioMT image-only Transformer,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.77037037037037037,0.72881355932203384,0.20000000000000001,0.10186256448101387,0.40000000000000002,0.7592592592592593,0.57962962962962972,0.072064246019474809,0.26605299322242931,16,11,18,19
MTTU-Net,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.86296296296296293,0.74576271186440679,0.2857142857142857,0.22505861041583891,0.59999999999999998,0.7592592592592593,0.67962962962962958,0.060938095001448846,0.21941831794992106,5,9,9,10
MFEFNet,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.87037037037037035,0.96610169491525422,0.80000000000000004,0.78148148148148144,0.80000000000000004,0.98148148148148151,0.89074074074074083,0.061516849117993697,0.22674701060275676,4,1,1,1
2.5D Hybrid MTL,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.82962962962962961,0.72881355932203384,0.27272727272727271,0.20953512687653467,0.59999999999999998,0.7407407407407407,0.67037037037037028,0.062553778222126946,0.24223838047448507,7,11,10,11
AGGN,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.78518518518518521,0.69491525423728817,0.25,0.18101942213222266,0.59999999999999998,0.70370370370370372,0.6518518518518519,0.07460833943353215,0.27227460678832566,15,14,11,12
Swin-S,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.64814814814814814,0.64406779661016944,0.22222222222222221,0.1429159558095961,0.59999999999999998,0.64814814814814814,0.624074074074074,0.080732541739714767,0.29582472009806571,20,16,14,14
CMTLNet,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.84280741189435349,0.78316326530612246,0.82581967213114749,0.55088393377408063,0.77351247600767759,0.80228136882129275,0.78789692241448517,0.17037184072799916,0.7469428889099381,9,10,10,10
ResNet10 3D,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.87679440677842402,0.7857142857142857,0.82680412371134016,0.56041626229487251,0.76967370441458738,0.81749049429657794,0.79358209935558266,0.13893963065326548,0.51189715978082284,6,9,9,8
ResNet18 2.5D,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.83164870131291824,0.7678571428571429,0.81198347107438018,0.5235965164987495,0.75431861804222644,0.79467680608365021,0.77449771206293838,0.15544772516684643,0.71554420805937424,12,11,11,11
ResNet18 3D,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.87423279303474599,0.81887755102040816,0.86159844054580892,0.60040082039438314,0.84836852207293667,0.76045627376425851,0.80441239791859753,0.13618507739927038,0.4394670973894319,7,4,4,5
DenseNet121 3D,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.90006787181714021,0.82270408163265307,0.8622398414271556,0.61691764742623623,0.83493282149712089,0.79847908745247154,0.81670595447479621,0.12173073576069664,0.42254121704539899,2,3,3,3
EfficientNet-B0 3D,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.83333090065171544,0.74872448979591832,0.79064824654622745,0.50318340614512114,0.71401151631477922,0.81749049429657794,0.76575100530567863,0.18135540516627885,0.94110009621453072,11,12,12,12
PrognosAIs WHO-2016 MTL,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.88585128044196959,0.8125,0.85196374622356497,0.60344421767485612,0.81190019193857965,0.81368821292775662,0.81279420243316813,0.13162722844873306,0.45919861180034049,4,5,7,4
GlioMT image-only Transformer,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.73556264276800243,0.7142857142857143,0.77909270216962523,0.376781228795047,0.75815738963531665,0.62737642585551334,0.69276690774541505,0.20181542895969437,0.61375116281546982,13,13,13,13
MTTU-Net,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.88165490465104401,0.8125,0.85741998060135793,0.58405129795795152,0.84836852207293667,0.7414448669201521,0.79490669449654439,0.13593884264491329,0.46608371052323233,5,5,5,6
MFEFNet,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.88837640396137874,0.8392857142857143,0.87861271676300579,0.6409289638230119,0.87523992322456812,0.76806083650190116,0.82165037986323464,0.11468580352927553,0.39832117769632147,3,1,1,2
2.5D Hybrid MTL,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.83424315625843837,0.80867346938775508,0.853515625,0.5787682484670158,0.8387715930902111,0.74904942965779464,0.79391051137400281,0.16095594876193245,0.58082149415469664,10,7,6,7
AGGN,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.86232238383337101,0.79974489795918369,0.84742468415937799,0.55665558575369745,0.83685220729366605,0.72623574144486691,0.78154397436926648,0.14412308636955073,0.48998563727224009,8,8,8,9
Swin-S,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.7316362946366668,0.69005102040816324,0.75772681954137588,0.33136265904424472,0.72936660268714015,0.61216730038022815,0.67076695153368415,0.20469988859690932,0.6622815488810464,14,14,14,14
CMTLNet,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.89906642179369456,0.83636363636363631,0.89068825910931171,0.59344242605620834,0.83333333333333337,0.84848484848484851,0.84090909090909094,0.11874513388736044,0.37902269201484073,10,3,3,4
ResNet10 3D,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.9250331598816447,0.6646464646464646,0.73566878980891715,0.45948781063106159,0.58333333333333337,0.98989898989898994,0.78661616161616166,0.11571133086699985,0.36848749889760912,5,13,14,11
ResNet18 2.5D,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.90541781450872361,0.60202020202020201,0.671118530884808,0.39635821934930537,0.50757575757575757,0.97979797979797978,0.74368686868686873,0.099441103483635537,0.33030069039881993,9,15,16,13
ResNet18 3D,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.92306907458422605,0.78585858585858581,0.84813753581661888,0.563322090624363,0.74747474747474751,0.93939393939393945,0.84343434343434343,0.13337940801524178,0.42976009773829577,6,6,6,7
DenseNet121 3D,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.94161310070400983,0.79393939393939394,0.85260115606936415,0.59950194933847167,0.74494949494949492,0.98989898989898994,0.86742424242424243,0.12703820033584196,0.40492984096044754,3,5,5,3
EfficientNet-B0 3D,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.85771860014284251,0.33333333333333331,0.28879310344827586,0.18485966425290098,0.1691919191919192,0.98989898989898994,0.57954545454545459,0.28152573848118945,0.86124419883349723,13,20,20,20
PrognosAIs WHO-2016 MTL,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.94219977553310885,0.77575757575757576,0.83795620437956209,0.57173091466870973,0.7247474747474747,0.97979797979797978,0.85227272727272729,0.11095190711007408,0.3659822577162638,2,8,8,6
GlioMT image-only Transformer,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.81422813998571575,0.6646464646464646,0.74303405572755421,0.40406101782088427,0.60606060606060608,0.89898989898989901,0.7525252525252526,0.21262019021766537,0.63284183614004708,14,13,13,12
MTTU-Net,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.91962554841342725,0.81414141414141417,0.87257617728531855,0.57728083920570683,0.79545454545454541,0.88888888888888884,0.84217171717171713,0.14813505306381697,0.46970873432667426,7,4,4,5
MFEFNet,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.94064381185593304,0.86464646464646466,0.90982503364737555,0.66631770340846819,0.85353535353535348,0.90909090909090906,0.88131313131313127,0.089005739362606626,0.31286350469204793,4,2,2,2
2.5D Hybrid MTL,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.91307009488827673,0.73535353535353531,0.80359820089955025,0.51951885611165394,0.6767676767676768,0.96969696969696972,0.82323232323232332,0.15869674761375999,0.48901103762372794,8,10,10,8
AGGN,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.89337822671156009,0.74141414141414141,0.8134110787172012,0.4819055601270989,0.70454545454545459,0.88888888888888884,0.79671717171717171,0.14657281628324312,0.45497457105796485,11,9,9,10
Swin-S,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.88039485766758496,0.77777777777777779,0.84636871508379885,0.4965281246530035,0.76515151515151514,0.82828282828282829,0.79671717171717171,0.16838552259396214,0.51616244872639261,12,7,7,9
CMTLNet,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.88536409516943038,0.77173913043478259,0.83720930232558144,0.52625856568558649,0.73972602739726023,0.89473684210526316,0.8172314347512617,0.15209677897125937,0.50156985949531208,9,11,12,11
ResNet10 3D,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.90050468637346792,0.78260869565217395,0.84615384615384615,0.54044314323120402,0.75342465753424659,0.89473684210526316,0.82408074981975488,0.091600962842592643,0.33420955940689717,6,10,11,9
ResNet18 2.5D,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.87815428983417443,0.75,0.81889763779527558,0.49909725667751509,0.71232876712328763,0.89473684210526316,0.80353280461427534,0.10649054471438023,0.3630362167073089,11,13,13,12
ResNet18 3D,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.88752703677000722,0.89130434782608692,0.92957746478873238,0.697611539561794,0.90410958904109584,0.84210526315789469,0.87310742609949532,0.10090981628411116,0.3554488475267546,8,1,2,2
DenseNet121 3D,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.9098774333093006,0.83695652173913049,0.88888888888888884,0.61885895800623825,0.82191780821917804,0.89473684210526316,0.85832732516222054,0.10461682445091064,0.3504530808249206,5,8,8,7
EfficientNet-B0 3D,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.8211968276856525,0.51086956521739135,0.5714285714285714,0.25982265225042744,0.41095890410958902,0.89473684210526316,0.65284787310742609,0.15334498614808487,0.50300439954289455,13,17,19,14
PrognosAIs WHO-2016 MTL,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.91925018024513339,0.85869565217391308,0.9051094890510949,0.65459466898006613,0.84931506849315064,0.89473684210526316,0.8720259552992069,0.086853200908806036,0.32209045324686447,2,6,7,6
GlioMT image-only Transformer,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.72025955299206923,0.66304347826086951,0.76335877862595425,0.22130406921058998,0.68493150684931503,0.57894736842105265,0.6319394376351839,0.20904524856879689,0.60777375280811152,14,15,15,16
MTTU-Net,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.89834174477289108,0.89130434782608692,0.92957746478873238,0.697611539561794,0.90410958904109584,0.84210526315789469,0.87310742609949532,0.096565914307031625,0.35581681462801168,7,1,2,2
MFEFNet,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.91131939437635179,0.89130434782608692,0.93055555555555558,0.68216896130412619,0.9178082191780822,0.78947368421052633,0.85364095169430421,0.089925209290203714,0.30845426114793756,4,1,1,4
2.5D Hybrid MTL,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.91420331651045417,0.88043478260869568,0.92307692307692313,0.65822819478341366,0.90410958904109584,0.78947368421052633,0.84679163662581103,0.10013537311635654,0.34023955417355389,3,5,5,5
AGGN,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.86950252343186729,0.85869565217391308,0.90780141843971629,0.61414887900486637,0.87671232876712324,0.78947368421052633,0.83309300648882478,0.10660128771632146,0.36438239280896506,12,6,6,8
Swin-S,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.88392213410237919,0.82608695652173914,0.88571428571428568,0.53339004924646993,0.84931506849315064,0.73684210526315785,0.79307858687815425,0.13788324505575461,0.4471408485079762,10,9,9,10
CoLE-Net,IDH,Development OOF,1355,1074,281,pooled_oof,0.94594988634631572,0.89446494464944648,0.77265500794912556,0.71178394409360823,0.86476868327402134,0.9022346368715084,0.88350166007276487,0.07012772851626646,0.23998768031507203,1,1,1,1
CoLE-Net,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.95321478105805435,0.92525252525252522,0.82790697674418601,0.78138872056826103,0.86407766990291257,0.94132653061224492,0.9027021002575788,0.066236463334473306,0.24047206903149998,1,1,1,1
CoLE-Net,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.98195187165775399,0.92380952380952386,0.80952380952380953,0.78624539310689645,1,0.90909090909090906,0.95454545454545459,0.054021254008454353,0.20656438758578605,1,1,1,1
CoLE-Net,1p/19q,Development OOF,571,481,90,pooled_oof,0.85162855162855167,0.79684763572679507,0.546875,0.46396530023727411,0.77777777777777779,0.8004158004158004,0.78909678909678904,0.13583347991539205,0.42058072252691209,1,1,1,1
CoLE-Net,1p/19q,UCSF,404,389,15,five_fold_probability_ensemble,0.92476435304198801,0.84653465346534651,0.26190476190476192,0.2935348174107989,0.73333333333333328,0.85089974293059123,0.79211653813196226,0.099109991634402372,0.33544268034793046,1,2,1,1
CoLE-Net,1p/19q,Xijing,59,54,5,five_fold_probability_ensemble,0.94814814814814818,0.88135593220338981,0.46153846153846156,0.41277045446049859,0.59999999999999998,0.90740740740740744,0.75370370370370376,0.077929276399154312,0.27986612538226668,1,2,2,2
CoLE-Net,Grade,Development OOF,784,263,521,pooled_oof,0.91483911460119827,0.8392857142857143,0.87272727272727268,0.66306000754319727,0.82917466410748564,0.85931558935361219,0.84424512673054886,0.10743686039309719,0.34668807558815495,1,1,2,1
CoLE-Net,Grade,UCSF,495,99,396,five_fold_probability_ensemble,0.95464748495051532,0.87272727272727268,0.91520861372812923,0.68838120352133136,0.85858585858585856,0.92929292929292928,0.89393939393939392,0.074150219784428095,0.27020435898323847,1,1,1,1
CoLE-Net,Grade,Xijing,92,19,73,five_fold_probability_ensemble,0.9228550829127613,0.89130434782608692,0.9285714285714286,0.71446711393530837,0.8904109589041096,0.89473684210526316,0.89257390050468643,0.090493935342600723,0.3180254074915807,1,1,4,1
AdaBoost,Grade,Development OOF,784,263,521,pooled_out_of_fold,0.68312619049356682,0.60076530612244894,0.6601520086862106,0.20634855235335076,0.58349328214971208,0.63498098859315588,0.60923713537143398,0.21522750730881238,0.62074090684596439,19,20,20,20
AdaBoost,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.80148213682180569,0.77638376383763841,0.54572713643178405,0.41116977804114341,0.64768683274021355,0.81005586592178769,0.72887134933100062,0.17592446580753637,0.53534655856446556,18,15,18,18
AdaBoost,1p/19q,Development OOF,571,481,90,pooled_out_of_fold,0.71849156849156848,0.67950963222416816,0.37113402061855671,0.22460172071233431,0.59999999999999998,0.69438669438669443,0.6471933471933472,0.1983253940642293,0.58270004240275342,11,11,15,15
AdaBoost,Grade,UCSF,495,99,396,five_model_probability_ensemble,0.71351137639016415,0.58181818181818179,0.66879999999999995,0.26133715273055658,0.52777777777777779,0.79797979797979801,0.66287878787878785,0.21242502499122787,0.61561908241548524,18,17,17,17
AdaBoost,IDH,UCSF,495,392,103,five_model_probability_ensemble,0.74595056469189625,0.78989898989898988,0.45263157894736844,0.3255369842751889,0.41747572815533979,0.88775510204081631,0.65261541509807808,0.17750042457847495,0.54029700513958634,18,8,18,15
